sbtpt,time
2913,0.30
2913,0.30
2858,0.31
2858,0.30
2858,0.30
2858,0.30
3065,0.31
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.31
3065,0.30
3065,0.30
3065,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.30
3063,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2896,0.30
3062,0.31
3062,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.30
3062,0.31
3062,0.30
3062,0.30
2925,0.30
2925,0.30
2925,0.30
2925,0.30
2925,0.30
2925,0.31
2925,0.31
2925,0.30
2925,0.31
2925,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.29
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2709,0.30
1155,0.30
1155,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
3080,0.30
3080,0.30
3080,0.31
3080,0.31
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.31
3064,0.30
3064,0.30
3018,0.30
3018,0.30
3018,0.30
3018,0.30
2937,0.30
2937,0.31
2937,0.30
2937,0.30
2937,0.31
2937,0.30
2937,0.30
2937,0.30
2937,0.30
2937,0.30
1925,0.30
962,0.30
962,0.30
962,0.30
3080,0.30
3080,0.30
2868,0.30
2868,0.30
2868,0.30
2868,0.30
2868,0.30
2868,0.31
2868,0.30
2868,0.30
2868,0.30
2868,0.30
2310,0.31
2310,0.31
2310,0.30
2310,0.31
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.31
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.30
3064,0.31
1526,0.30
962,0.30
962,0.30
962,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
3065,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.30
2874,0.29
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.31
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3028,0.30
3028,0.30
3028,0.30
3028,0.30
3028,0.30
3028,0.30
1540,0.30
1155,0.30
1155,0.30
1155,0.30
1155,0.30
1540,0.31
3013,0.30
3013,0.30
3013,0.30
3013,0.30
3013,0.31
3013,0.30
3013,0.30
3013,0.30
3013,0.30
3013,0.30
2823,0.30
2823,0.30
2823,0.30
2823,0.31
2823,0.30
2823,0.30
2823,0.31
2823,0.30
2823,0.30
2823,0.30
3048,0.30
3048,0.31
3048,0.31
3048,0.30
3048,0.30
3048,0.30
3048,0.31
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3080,0.31
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.30
3045,0.31
3045,0.30
3045,0.30
1155,0.30
1155,0.30
1155,0.30
962,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.29
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
3080,0.30
2310,0.30
2310,0.30
