sltpt,time
3045,0.31
3045,0.31
3045,0.31
3045,0.30
3031,0.29
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
3031,0.30
2981,0.30
2981,0.31
2981,0.30
2981,0.30
2981,0.31
2981,0.30
2981,0.31
2981,0.30
2981,0.30
2981,0.30
2310,0.30
2310,0.31
2310,0.31
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2310,0.30
2310,0.30
2310,0.31
2995,0.30
2927,0.30
2927,0.30
2927,0.31
2927,0.30
2927,0.30
2927,0.31
2927,0.31
2927,0.30
2927,0.30
2927,0.31
3048,0.31
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.30
3048,0.31
3048,0.30
3048,0.31
2850,0.31
2850,0.31
2850,0.31
2850,0.31
2850,0.31
2850,0.30
2850,0.31
2850,0.30
2850,0.30
2850,0.30
2850,0.31
2976,0.30
2976,0.31
2976,0.30
2976,0.30
2976,0.30
2976,0.31
2976,0.30
2976,0.30
2976,0.30
2976,0.31
2980,0.30
2980,0.30
2980,0.30
2980,0.30
2980,0.30
2980,0.30
2980,0.30
2980,0.30
2980,0.31
2980,0.30
2979,0.30
2979,0.30
2979,0.30
2979,0.30
2979,0.30
2979,0.30
2979,0.31
2979,0.30
2979,0.30
2979,0.30
2979,0.30
2956,0.30
2956,0.30
2956,0.30
2956,0.30
2956,0.30
2956,0.30
2956,0.31
2956,0.30
2956,0.31
2956,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2916,0.30
2970,0.30
2970,0.31
2970,0.30
2970,0.30
2970,0.31
2970,0.30
2970,0.31
2970,0.31
2970,0.30
2970,0.31
2970,0.30
2991,0.30
2991,0.31
2991,0.31
2991,0.30
2991,0.30
2991,0.30
2991,0.32
2991,0.30
2991,0.30
2991,0.30
2310,0.30
2310,0.31
2310,0.30
2310,0.30
2950,0.29
2950,0.30
2950,0.30
2950,0.30
2950,0.31
2950,0.30
2950,0.30
2950,0.30
2950,0.30
2950,0.30
2950,0.30
3014,0.30
3014,0.30
3014,0.30
3014,0.31
3014,0.31
3014,0.30
3014,0.30
3014,0.30
3014,0.30
3014,0.30
2856,0.30
2856,0.30
2856,0.30
2856,0.31
2856,0.30
2856,0.31
